"REF_DATE","GEO","DGUID","Type of structure","Type of work","Variables","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1251","","","","0"
"2022-02","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","805","","","","0"
"2022-03","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","970","","","","0"
"2022-04","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1500","","","","0"
"2022-05","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1683","","","","0"
"2022-06","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","2045","","","","0"
"2022-07","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1562","","","","0"
"2022-08","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1439","","","","0"
"2022-09","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1373","","","","0"
"2022-10","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1366","A","","","0"
"2022-11","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1835","","","","0"
"2022-12","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1429","","","","0"
"2023-01","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1536","","","","0"
"2023-02","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1262","","","","0"
"2023-03","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1265","","","","0"
"2023-04","Calgary, Alberta","2011S0503825","Total residential and non-residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404166","53.1.6.2.1","1416","","","","0"
"2022-01","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1251","","","","0"
"2022-02","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","805","","","","0"
"2022-03","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","970","","","","0"
"2022-04","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1500","","","","0"
"2022-05","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1683","","","","0"
"2022-06","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","2045","","","","0"
"2022-07","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1562","","","","0"
"2022-08","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1439","","","","0"
"2022-09","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1373","","","","0"
"2022-10","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1366","A","","","0"
"2022-11","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1835","","","","0"
"2022-12","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1429","","","","0"
"2023-01","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1536","","","","0"
"2023-02","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1262","","","","0"
"2023-03","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1265","","","","0"
"2023-04","Calgary, Alberta","2011S0503825","Total residential","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122404886","53.4.6.2.1","1416","","","","0"
"2022-01","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","380","","","","0"
"2022-02","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","444","","","","0"
"2022-03","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","487","","","","0"
"2022-04","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","558","","","","0"
"2022-05","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","502","","","","0"
"2022-06","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","704","","","","0"
"2022-07","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","462","","","","0"
"2022-08","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","492","","","","0"
"2022-09","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","383","","","","0"
"2022-10","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","328","A","","","0"
"2022-11","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","515","","","","0"
"2022-12","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","330","","","","0"
"2023-01","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","305","","","","0"
"2023-02","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","271","","","","0"
"2023-03","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","417","","","","0"
"2023-04","Calgary, Alberta","2011S0503825","Single dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122405606","53.7.6.2.1","392","","","","0"
"2022-01","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","871","","","","0"
"2022-02","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","361","","","","0"
"2022-03","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","483","","","","0"
"2022-04","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","942","","","","0"
"2022-05","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1181","","","","0"
"2022-06","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1341","","","","0"
"2022-07","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1100","","","","0"
"2022-08","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","947","","","","0"
"2022-09","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","990","","","","0"
"2022-10","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1038","A","","","0"
"2022-11","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1320","","","","0"
"2022-12","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1099","","","","0"
"2023-01","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1231","","","","0"
"2023-02","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","991","","","","0"
"2023-03","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","848","","","","0"
"2023-04","Calgary, Alberta","2011S0503825","Multiple dwelling building total","New construction","Number of dwelling-units created","Unadjusted, current","Number","223","units","0","v122407526","53.15.6.2.1","1024","","","","0"


